,permit_number,business_name,issued_date,expiration_date,address,latitude,longitude
272,1144258,CORCORAN'S GRILL & PUB,03/13/2020,05/31/2021,1615 N WELLS ST,41.911618998,-87.634577956
273,1144266,PARLOR PIZZA BAR,05/13/2020,05/31/2021,20 W KINZIE ST,41.889352033,-87.62884885
274,1144267,PRINCI,02/27/2020,05/31/2021,1000 - 1002 W RANDOLPH ST,41.884434965,-87.65216554700001
275,1144268,CHICAGO HILTON & TOWERS,03/03/2020,05/31/2021,720 S MICHIGAN AVE,41.872798869,-87.62433781
276,1144269,CENTENNIAL CRAFTED BEER & EATERY,05/13/2020,05/31/2021,733 N LA SALLE DR,41.895740116,-87.63254634799999
277,1144270,SUBWAY #26771,08/04/2020,05/31/2021,35 W VAN BUREN ST,41.876794686,-87.628999061
278,1144271,BAR LOUIE,05/29/2020,05/31/2021,1325 S HALSTED ST,41.864755663000004,-87.646699179
279,1144272,Subway 24453,08/04/2020,05/31/2021,66 E WASHINGTON ST,41.883331979,-87.62545882799999
280,1144273,Subway 7709,08/04/2020,05/31/2021,177 N WELLS ST,41.885257194,-87.63376979600001
281,1144276,LOTTIE'S PUB,06/25/2020,05/31/2021,1925 W CORTLAND ST,41.91585488,-87.676217909
282,1144277,THE PONY INN,06/17/2020,05/31/2021,1638 W BELMONT AVE,41.939784949,-87.67022031799999
283,1144279,GOLDEN APPLE RESTAURANT,02/27/2020,05/31/2021,2971 N LINCOLN AVE,41.935977772,-87.66328493
284,1144281,ROTI MODERN MEDITERRANEAN,03/13/2020,05/31/2021,1526 E 53RD ST,41.799662004,-87.588003399
285,1144282,THE BELLEMORE,03/09/2020,05/31/2021,564 W RANDOLPH ST,41.884543398000005,-87.64233138700001
286,1144283,STARBUCKS COFFEE #282,04/10/2020,05/31/2021,555 S DEARBORN ST,41.874662881,-87.629065289
287,1144284,STARBUCKS COFFEE #226,02/28/2020,05/31/2021,1530 E 53RD ST,41.799667123,-87.587814524
288,1144285,STARBUCKS COFFEE  #2635,04/10/2020,05/31/2021,4753 N BROADWAY,41.968723710999996,-87.659414087
289,1144286,BURRITO BEACH # 8,03/17/2020,05/31/2021,200 E OHIO ST,41.892671291,-87.622572202
290,1144287,REAL GOOD STUFF CO.,07/23/2020,05/31/2021,701 N WELLS ST,41.894834906999996,-87.634006773
291,1144288,GINO'S EAST OF CHICAGO,06/10/2020,05/31/2021,521 S DEARBORN ST,41.875237557,-87.629077845
292,1144289,EDWARDO'S PIZZA,06/09/2020,05/31/2021,1212 N DEARBORN ST,41.90434217,-87.630145246
293,1144290,THE CROSS ROADS BAR & GRILL,05/13/2020,05/31/2021,1120-1124 W MADISON ST,41.881760499,-87.655324249
294,1144291,NORTH BUENA MARKET,03/17/2020,05/31/2021,4200 N BROADWAY,41.958483563,-87.65321448899999
295,1144292,PORT & PARK BISTRO AND BAR,03/18/2020,05/31/2021,4000-4006 N SOUTHPORT AVE,41.954399623,-87.664363095
296,1144295,GINO'S EAST PIZZERIA,09/03/2020,05/31/2021,160-64 E SUPERIOR ST,41.895862946,-87.62325304
297,1144296,THE GLOBE PUB,03/18/2020,05/31/2021,1934 W IRVING PARK RD,41.954279903,-87.677732167
298,1144297,LIFEWAY KEFIR SHOP,03/04/2020,05/31/2021,1745 W DIVISION ST,41.903168562,-87.671644951
299,1144298,SWIG,06/09/2020,05/31/2021,1469 N MILWAUKEE AVE,41.908689503000005,-87.674604558
300,1144299,BRIDGEPORT COFFEE HOUSE INC,03/18/2020,05/31/2021,3101 S MORGAN ST,41.837942966,-87.65099272200001
301,1144300,THE PASTA BOWL,04/03/2020,05/31/2021,4343 N LINCOLN AVE,41.960748173,-87.683219595
302,1144301,FREDDIES,08/06/2020,05/31/2021,701 W 31ST ST,41.837965786999995,-87.643906727
303,1144302,GYU-KAKU RESTAURANT,08/20/2020,05/31/2021,210 E OHIO ST,41.892677172,-87.622194494
304,1144303,GYU-KAKU RESTAURANT,08/20/2020,05/31/2021,1364 W RANDOLPH ST,41.884288898,-87.66127941799999
305,1144305,ONWARD,09/17/2020,05/31/2021,6580 N SHERIDAN RD,42.00227908,-87.660917809
