,PERMIT NUMBER,DOING BUSINESS AS NAME,ISSUED DATE,EXPIRATION DATE,ADDRESS,CITY,STATE,ZIP CODE,LATITUDE,LONGITUDE,LOCATION
390,1144419,SHAKE SHACK,03/04/2020,05/31/2021,12 S MICHIGAN AVE,CHICAGO,IL,60603.0,41.8818033,-87.624504274,"(41.881803300378394, -87.62450427385279)"
391,1144420,DAMN FINE COFFEE BAR,02/28/2020,05/31/2021,3317 W ARMITAGE AVE,CHICAGO,IL,60647.0,41.917242821,-87.711007063,"(41.917242821418085, -87.71100706313331)"
392,1144422,PANCHO PISTOLAS MEXICAN RESTAURANT,05/29/2020,05/31/2021,700 W 31ST ST,CHICAGO,IL,60616.0,41.838185285,-87.643912017,"(41.838185285255065, -87.64391201661694)"
393,1144423,MRS FIELDS COOKIES,03/17/2020,05/31/2021,32 E RANDOLPH ST,CHICAGO,IL,60601.0,41.8846042,-87.626759487,"(41.88460419998884, -87.62675948736667)"
394,1144430,CAFE RESTAURANT ART,03/13/2020,05/31/2021,4658 N ROCKWELL ST,CHICAGO,IL,60625.0,41.966571693,-87.693893491,"(41.966571693001114, -87.69389349093929)"
395,1144434,THE GRAYSTONE TAVERN,07/23/2020,05/31/2021,3441 N SHEFFIELD AVE,CHICAGO,IL,60657.0,41.944772763,-87.654107848,"(41.94477276328082, -87.65410784813349)"
396,1144438,LYFE KITCHEN,02/28/2020,05/31/2021,259 E ERIE ST,CHICAGO,IL,60611.0,41.894085381,-87.62040431,"(41.894085380663164, -87.62040431002175)"
397,1144439,LYFE KITCHEN,02/28/2020,05/31/2021,413-419 N CLARK ST,CHICAGO,IL,60654.0,41.889590469,-87.63092288799999,"(41.88959046922308, -87.6309228883066)"
398,1144441,PEET'S COFFEE & TEA,07/16/2020,05/31/2021,41 E 8TH ST,CHICAGO,IL,60605.0,41.871729899,-87.625975417,"(41.8717298990094, -87.6259754174694)"
399,1144444,FLORIOLE BAKERY LLC,03/17/2020,05/31/2021,1220 W WEBSTER AVE,CHICAGO,IL,60614.0,41.921763099,-87.659241874,"(41.92176309903512, -87.65924187372441)"
400,1144463,SUMU TOKYO RAMEN AND SUSHI,08/03/2020,05/31/2021,1131 W MADISON ST,CHICAGO,IL,60607.0,41.881535752,-87.655580486,"(41.881535752397575, -87.65558048597315)"
