permit_number,business_name,issued_date,expiration_date,address,latitude,longitude
1049491,LEADWAY LIQUORS & CAFE,2006-04-14T00:00:00.000,2006-12-01T00:00:00.000,5233 N DAMEN AVE,41.976988998,-87.67928387200001
1049489,POTBELLY SANDWICH WORKS LLC,2006-04-05T00:00:00.000,2006-12-01T00:00:00.000,190 N STATE ST,41.88555517,-87.628082725
1049484,POTBELLY SANDWICH WORKS LLC,2006-04-05T00:00:00.000,2006-12-01T00:00:00.000,277 E ONTARIO ST,41.893286702,-87.62073603799999
1049482,POTBELLY SANDWICH WORKS LLC,2006-04-05T00:00:00.000,2006-12-01T00:00:00.000,155 N WACKER DR,41.884615617,-87.63668235799999
1049481,POTBELLY SANDWICH WORKS LLC,2006-04-05T00:00:00.000,2006-12-01T00:00:00.000,508 N CLARK ST,41.891150496,-87.63126028399999
1049480,IRONSIDE BAR & GALLEY,2006-07-11T00:00:00.000,2006-12-01T00:00:00.000,546 N WELLS ST,41.892202981,-87.634227899
1049478,NOSH AND BOOZE,2006-04-07T00:00:00.000,2006-12-01T00:00:00.000,838 W RANDOLPH ST,41.884492164,-87.648928043
1049477,CORCORAN'S GRILL & PUB,2006-04-03T00:00:00.000,2006-12-01T00:00:00.000,1615 N WELLS ST,41.911618998,-87.634577956
1049476,PADDY MAC'S,2006-04-28T00:00:00.000,2006-12-01T00:00:00.000,4157 N PULASKI RD,41.957154975,-87.72757201600001
1049475,CLUB LUCKY,2006-04-07T00:00:00.000,2006-12-01T00:00:00.000,1822-24 W WABANSIA AVE,41.912476985,-87.67361846799999
1049473,MC NAMARA'S FOOD & DRINKS,2006-05-10T00:00:00.000,2006-12-01T00:00:00.000,4326-28 W IRVING PARK RD,41.953654349000004,-87.73664589299999
1049472,QUIZNO'S SUBS,2006-04-07T00:00:00.000,2006-12-01T00:00:00.000,106 W CHICAGO AVE,41.89674122,-87.63154089700001
1049470,CAPONIES CAFE & PIZZA,2006-04-06T00:00:00.000,2006-12-01T00:00:00.000,3350 N HARLEM AVE,41.941242142,-87.807009257
1049469,SIGARA HOOKAH CAFE/LOUNGE,2006-05-02T00:00:00.000,2006-12-01T00:00:00.000,2013 W DIVISION ST,41.903071092,-87.677830971
1049468,TRATTORIA GIANNI,2006-04-03T00:00:00.000,2006-12-01T00:00:00.000,1711 N HALSTED ST,41.913132755999996,-87.64819574299999
1049467,VERMILION,2006-04-14T00:00:00.000,2006-12-01T00:00:00.000,10 W HUBBARD ST,41.890168585,-87.628394336
1049466,BOSS BAR,2006-04-06T00:00:00.000,2006-12-01T00:00:00.000,420 N CLARK ST,41.889977687,-87.631227083
1049464,Rockit Bar & Grill,2006-04-10T00:00:00.000,2006-12-01T00:00:00.000,22 W HUBBARD ST,41.890161366,-87.628849242
1049463,HAWKEYE'S BAR & GRILL INC,2006-03-08T00:00:00.000,2006-12-01T00:00:00.000,1458 W TAYLOR ST,41.869411103000004,-87.66401783399999
1049458,SOUTHPORT LANES INC,2006-04-19T00:00:00.000,2006-12-01T00:00:00.000,3325 N SOUTHPORT AVE,41.942397854,-87.66374116899999
1049454,CHIPOTLE MEXICAN GRILL,2006-04-11T00:00:00.000,2006-12-01T00:00:00.000,291 E ONTARIO ST,41.893293676999996,-87.620392895
1049449,CHEZ MOI,2006-07-21T00:00:00.000,2006-12-01T00:00:00.000,2100 N HALSTED ST,41.920082191,-87.648724715
1049447,TARASCAS INTERNATIONAL,2006-03-31T00:00:00.000,2006-12-01T00:00:00.000,2585 N CLARK ST,41.93003288,-87.643254335
1049446,CHIPOTLE MEXICAN GRILL,2006-04-11T00:00:00.000,2006-12-01T00:00:00.000,2256 N ORCHARD ST,41.923518401,-87.646418087
1049445,Treats Frozen Desserts,2006-04-06T00:00:00.000,2006-12-01T00:00:00.000,2224 N CLARK ST,41.922587398000005,-87.63881263799999
